SampleLabel,Time,7Li,26Mg,27Al,29Si,31P,43Ca,45Sc,48Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr
bir-1,0,1100.042,34040.508,21916.799,64947.3,3400.405,900.028,4200.618,2000.14,0,43766.942,3100.336,22217.263,3000.315,21416.041,1900.126,200.001,300.003,200.001,0
bir-1,643,1500.079,41560.366,26524.602,70171.921,3500.429,1300.059,4400.678,2400.202,0,47478.767,5200.947,21716.494,2800.274,16409.419,1100.042,200.001,0,100,100
bir-1,1033,700.017,36546.688,27526.494,62235.268,3600.454,1600.09,3600.454,2300.185,300.003,46876.784,3500.429,24320.685,3400.405,19713.593,1900.126,0,0,100,400.006
bir-1,1423,1800.113,39755.24,25723.138,67860.796,3400.405,1200.05,3100.336,1100.042,700.017,46575.802,3900.532,21315.891,2900.294,18712.247,400.006,0,0,200.001,100
bir-1,1813,1500.079,42061.831,28829.06,69870.449,3300.381,1400.069,4400.678,2700.255,400.006,46475.476,3800.506,21015.446,2100.154,17110.24,900.028,100,300.003,200.001,100
bir-1,2163,800.022,37649.547,28428.258,75197.393,3400.405,1100.042,3200.358,1300.059,400.006,50188.005,3300.381,21616.342,3000.315,19813.731,1200.05,0,500.009,100,0
bir-1,2553,900.028,41961.537,29630.697,65750.964,2600.237,900.028,3100.336,2300.185,400.006,44268.483,4400.678,28027.467,3300.381,17410.603,1400.069,200.001,200.001,0,100
bir-1,2943,1100.042,40256.641,27125.729,76604.841,3100.336,1500.079,4700.773,1600.09,500.009,57214.343,5701.137,24020.177,3200.358,19313.046,600.013,0,200.001,0,200.001
bir-1,3332,1100.042,38451.679,27927.271,75599.507,3400.405,1000.035,4100.588,1400.069,500.009,50188.005,4300.647,22918.369,4700.773,18912.511,1300.059,100,300.003,100,0
bir-1,3722,1100.042,44870.357,28027.467,72483.419,2400.202,1200.05,2800.274,2600.237,300.003,50689.772,6301.39,23819.842,3700.479,21616.342,700.017,100,300.003,0,0
bir-1,4112,500.009,41259.496,26925.35,72985.968,2800.274,2000.14,3800.506,2900.294,400.006,50589.417,4500.709,26825.162,2700.255,23218.854,900.028,100,200.001,100,0
bir-1,4502,900.028,38752.49,27927.271,78615.722,3800.506,1100.042,3500.429,2700.255,200.001,51793.721,5300.983,25622.958,2500.219,21416.041,800.022,100,300.003,100,400.006
bir-1,4853,500.009,45572.574,27426.302,80828.016,4600.741,1400.069,4900.841,2100.154,400.006,54905.308,4200.618,25823.318,2800.274,20815.153,700.017,0,500.009,0,400.006
bir-1,5243,900.028,41359.786,27726.881,83543.571,3200.358,1300.059,4800.806,1200.05,500.009,52897.755,4300.647,25021.894,2900.294,19313.046,900.028,100,500.009,400.006,200.001
