SampleLabel,Time,7Li,23Na,26Mg,27Al,29Si,31P,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr,93Nb,138Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,160Gd,159Tb,163Dy,166Er,172Yb,175Lu,208Pb,232Th,238U
bir-2,0,800.022,764840.54,43666.635,30332.167,41359.786,3900.532,500.009,2600.237,1100.042,300.003,19413.182,3300.381,15908.853,3100.336,16910.002,500.009,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,1023,1400.069,796291.03,46876.784,28127.664,40557.49,3100.336,900.028,2100.154,100,300.003,17710.972,3100.336,21215.742,3400.405,19012.643,900.028,200.001,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,1782,1000.035,799672.28,47378.435,27927.271,40356.923,3000.315,900.028,3400.405,500.009,100,20514.719,4800.807,21616.342,3300.381,16008.965,600.013,200.001,0,100,100,0,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,2542,300.003,800834.76,48983.836,30131.744,42563.313,2600.237,400.006,3000.315,500.009,300.003,20815.153,4400.678,19012.643,2000.14,21015.446,500.009,900.028,400.006,100,400.006,0,100,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,3261,1000.035,820822.71,45070.987,26324.231,41660.658,3200.358,1000.035,2300.185,100,200.001,15708.632,3900.532,20915.3,2500.219,17410.603,400.006,200.001,200.001,0,0,0,600.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,4021,600.013,824527.16,50589.417,30933.455,42162.126,3900.532,2200.169,2500.219,900.028,200.001,21716.494,3900.532,18111.474,1900.126,21916.799,1400.069,200.001,500.009,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,4781,1200.05,820611.05,43766.942,25122.07,42964.511,3400.405,1700.101,3000.315,600.013,400.006,23419.18,3400.405,19212.911,2500.219,20214.292,800.022,200.001,400.006,100,0,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,5541,600.013,813416.59,51693.358,26123.864,40758.06,3200.358,1000.035,2500.219,1300.059,400.006,21816.646,3000.315,20514.719,2100.154,21616.342,900.028,200.001,300.003,0,100,0,200.001,300.003,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,6261,800.022,819552.82,47177.773,30131.744,41159.208,3400.405,2000.14,2800.274,500.009,0,20815.153,3600.454,20314.433,2600.237,20014.01,500.009,300.003,400.006,0,300.003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,7021,1100.042,829503.19,46174.503,29630.697,46575.802,3300.381,1900.126,3000.315,700.017,200.001,21716.494,4500.709,17811.096,3400.405,20214.292,1900.126,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
bir-2,7781,700.017,822516.06,49485.561,30532.594,41961.537,3700.479,1300.059,2700.255,200.001,300.003,19713.593,6101.303,23619.51,2900.294,18812.379,1500.079,200.001,100,400.006,400.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,8540,800.022,835752.07,47880.103,32236.33,45773.214,3500.429,800.022,4300.647,200.001,400.006,21215.742,4000.56,23218.854,3000.315,19713.593,1300.059,100,500.009,100,500.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,9260,1000.035,841897.64,48883.493,27626.687,42563.313,3900.532,1300.059,3500.429,300.003,200.001,19212.911,4200.618,20414.576,2900.294,17610.848,1200.05,500.009,400.006,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,10020,900.028,828761.97,46676.129,26224.047,45371.937,3200.358,1100.042,4400.678,300.003,700.017,20214.292,3000.315,25021.894,1800.113,20114.15,800.022,400.006,400.006,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,10780,1600.09,835752.07,43466.025,24621.199,46274.826,4100.588,2600.237,2900.294,1000.035,0,23719.675,5000.875,20915.3,3300.381,21115.594,400.006,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
bir-2,11540,1200.05,846773.53,46174.503,30833.238,47378.435,3800.506,800.022,3100.336,600.013,400.006,23419.18,5100.911,20715.008,2000.14,17310.481,600.013,500.009,100,200.001,100,0,0,0,200.001,0,0,200.001,0,0,0,0,0,0,0,0,0,0
bir-2,12259,300.003,836493.64,48983.836,32436.783,50388.709,3300.381,1800.113,3900.532,400.006,0,18712.247,4300.647,22417.575,3300.381,21716.494,300.003,300.003,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,13019,1200.05,843487.42,51291.915,26825.162,38652.219,4100.588,900.028,2500.219,700.017,400.006,23218.854,4400.678,19012.643,2700.255,18311.729,1300.059,200.001,100,200.001,100,0,0,0,0,0,200.001,0,0,0,0,0,0,0,0,0,0,0
bir-2,13779,600.013,845289.39,44067.865,28227.861,47679.434,3600.454,1200.05,3800.506,400.006,200.001,22617.891,4800.807,19613.455,4000.56,20314.433,900.028,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,14539,600.013,841155.79,45773.214,30933.455,46676.129,3200.358,2300.185,2700.255,1400.069,500.009,20915.3,5200.947,23920.009,2100.154,21115.594,800.022,400.006,100,200.001,600.013,0,300.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,15259,700.017,819976.1,44669.729,31033.672,37047.977,2800.274,1000.035,3700.479,400.006,1400.069,19313.046,4600.741,23118.691,2000.14,18812.379,400.006,0,300.003,100,600.013,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,16019,600.013,840202.05,42964.511,29630.697,45572.574,2400.202,900.028,3100.336,500.009,100,19613.455,3700.479,23819.842,2300.185,19913.87,500.009,200.001,300.003,0,100,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,16779,900.028,795657.14,48582.469,28328.059,43566.33,3100.336,2200.169,3100.336,300.003,600.013,23719.675,4100.588,15308.198,1800.113,23218.854,500.009,100,100,0,300.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,17539,300.003,818283.05,43064.813,27726.881,40056.079,3300.381,1000.035,2100.154,500.009,200.001,20314.433,3100.336,20715.008,3300.381,22918.369,600.013,400.006,100,100,200.001,0,0,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,18258,500.009,824950.59,46776.456,29530.49,44870.357,2900.294,1200.05,4300.647,800.022,0,21916.799,4000.56,19212.911,4200.618,18912.511,1300.059,0,400.006,100,200.001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,19018,900.028,819341.18,49284.869,27426.302,40758.06,2500.219,500.009,3000.315,100,0,22117.108,5701.137,20514.719,2500.219,19313.046,100,500.009,400.006,100,400.006,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,19778,1100.042,815955.41,48381.789,28528.457,47278.103,3100.336,1700.101,1900.126,500.009,500.009,24821.545,3700.479,23419.18,2100.154,19713.593,800.022,0,0,200.001,100,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,20538,600.013,813733.92,48582.469,26724.974,42362.718,2400.202,800.022,5801.178,200.001,300.003,22718.049,4000.56,17310.481,2800.274,20314.433,1100.042,400.006,100,0,200.001,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,21257,300.003,826115.07,51894.084,26224.047,39153.582,2600.237,600.013,2000.14,200.001,100,21315.891,4900.841,19813.731,3000.315,18411.857,400.006,400.006,100,0,200.001,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,22018,800.022,826115.07,50087.653,32236.33,41259.496,2400.202,1700.101,4200.618,600.013,600.013,24320.685,3900.532,19413.182,2000.14,17811.096,1000.035,200.001,400.006,200.001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,22778,800.022,836069.88,44669.729,33338.856,40958.632,3800.506,1800.113,2100.154,600.013,300.003,20514.719,3400.405,20114.15,3400.405,21115.594,800.022,400.006,400.006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,23537,800.022,808763.23,48381.789,28728.858,39855.519,2000.14,2500.219,4300.647,100,600.013,25823.318,3600.454,19613.455,2800.274,19613.455,900.028,0,400.006,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,24257,900.028,809609.19,48682.809,32436.783,40657.775,2800.274,900.028,3400.405,300.003,1200.05,21315.891,3500.429,23819.842,1800.113,18712.247,800.022,600.013,200.001,100,300.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,25017,1200.05,811935.82,45171.303,28428.258,44870.357,4300.647,1200.05,3400.405,300.003,100,24921.719,5401.021,21416.041,2300.185,19813.731,400.006,200.001,100,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,25777,400.006,818812.11,47278.103,26524.602,37950.341,4000.56,1500.079,3300.381,100,100,21716.494,4100.588,19913.87,2000.14,19012.643,800.022,0,0,100,200.001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,26537,800.022,819235.37,43064.813,29430.284,40256.641,3700.479,1700.101,2900.294,1000.035,200.001,21416.041,3700.479,21516.191,3100.336,19613.455,100,200.001,500.009,100,200.001,0,100,0,0,0,0,200.001,0,0,0,0,0,0,0,0,0,0
bir-2,27256,1400.069,832786.17,45773.214,30031.533,41159.208,4000.56,600.013,2200.169,600.013,300.003,21115.594,4400.678,20815.153,2200.169,18011.347,1000.035,700.017,200.001,0,300.003,0,0,0,0,0,0,0,0,0,0,200.001,0,0,0,0,0,0
bir-2,28016,300.003,784040.55,47980.439,30131.744,42362.718,2700.255,1400.069,3800.506,300.003,400.006,18111.474,5701.137,19613.455,3900.532,16709.767,1100.042,0,300.003,0,100,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir-2,28776,600.013,809820.68,46475.476,25422.601,41058.92,2800.274,1900.126,2900.294,700.017,400.006,20414.576,3500.429,16910.002,2600.237,18712.247,1000.035,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
