Mass #,Elem Symbol,Dwell Time,,BCR-2g,BHVO-2g,BIR-1g
7,Li,,,10.085,4.6,3.1
9,Be,,,2.916,1.2,0.098
11,B,,,3,2.5,0.33
23,Na2O%,,,3.16,2.22,1.82
24,MgO%,,,3.59,7.23,9.68
25,MgO%,,,3.59,7.23,9.68
26,MgO%,,,3.59,7.23,9.68
27,Al2O3%,,,13.1,13.5,15.5
29,SiO2%,,,54.97,49.9,47.96
31,P2O5%,,,0.35,0.27,0.021
35,Cl,,,,,
39,K2O%,,,1.79,0.52,0.03
43,CaO%,,,7.12,11.43,13.35
44,CaO%,,,7.12,11.43,13.35
45,Sc,,,34.54,30.8,39.623
47,TiO2%,,,2.292,2.62,0.869
48,TiO2% (Ca),,,2.292,2.62,0.869
49,TiO2%,,,2.292,2.62,0.869
50,"TiO2% (Cr, V)",,,2.292,2.62,0.869
51,V,,,388.9,289,282.36
52,Cr,,,13.786,289.8,369.41
53,Cr,,,13.786,289.8,369.41
55,MnO%,,,0.2,0.1666,0.175
56,FeO*%,,,12.42,11.07,10.13
57,FeO*%,,,12.42,11.07,10.13
58,FeO*%,,,12.42,11.07,10.13
59,Co,,,39.3,43,47.1
60,Ni,,,10.36,111,148.1
63,Cu,,,28.53,133,109.7
65,Cu,,,28.53,133,109.7
66,Zn,,,152.09,99,59.2
68,Zn,,,152.09,99,59.2
69,Ga,,,33.1,21.2,13.6
72,Ge,,,1.5,1.64,1.5
75,As,,,1.35,1.07,0.32
77,Se,,,0.088,0.07,0.018
78,Se(Kr),,,0.088,0.07,0.018
79,Br,,,0.07,0.7,
80,Se(Kr),,,0.088,0.07,0.018
81,Br,,,0.07,0.7,
82,Kr(Se),,,,,
85,Rb,,,52.5,9.8,0.19
86,Sr(Kr),,,348.1,391,102.8
87,Rb(Sr),,,52.5,9.8,0.19
88,Sr,,,348.1,391,102.8
89,Y,,,38.4,26.4,14.7
90,Zr,,,208.9,184,14.6
93,Nb,,,14,19.5,0.54
95,Mo,,,1.6,1.02,0.5
96,"Mo(Ru,Zr)",,,1.6,1.02,0.5
97,Mo,,,1.6,1.02,0.5
98,Mo(Ru),,,1.6,1.02,0.5
99,Ru,,,0.001,,
100,Ru(Mo),,,0.001,,
101,Ru,,,0.001,,
102,Ru(Pd),,,0.001,,
105,Pd,,,,,
107,Ag,,,0.027,0.055,0.036
109,Ag,,,0.027,0.055,0.036
111,Cd,,,0.13,0.069,0.114
114,Cd(Sn),,,0.13,0.069,0.114
115,In,,,,,
118,Sn,,,2.7,2.1,0.65
120,Sn(Te),,,2.7,2.1,0.65
121,Sb,,,0.62,0.16,0.58
123,Sb(Te),,,0.62,0.16,0.58
127,I,,,0.18,,
133,Cs,,,1.19,0.0966,0.0046
137,Ba,,,670,129.07,6.1
138,Ba,,,670,129.07,6.1
139,La,,,25.5,14.79,0.541
140,Ce,,,55.1,37.26,1.726
141,Pr,,,7.1,5.4,0.378
145,Nd,,,30,24.25,2.225
146,Nd,,,30,24.25,2.225
147,Sm,,,6.9,6,1.007
149,Sm,,,6.9,6,1.007
151,Eu,,,2.1,1.96,0.459
153,Eu,,,2.1,1.96,0.459
157,Gd,,,7.5,6.35,1.744
159,Tb,,,1.164,0.958,0.319
160,Gd(Dy),,,7.5,6.35,1.744
162,Dy(Er),,,6.99,5.39,2.263
163,Dy,,,6.99,5.39,2.263
165,Ho,,,1.4,1,0.52
166,Er,,,3.87,2.49,1.472
167,Er,,,3.87,2.49,1.472
169,Tm,,,0.512,0.328,0.249
171,Yb,,,3.71,2.04,1.501
172,Yb,,,3.71,2.04,1.501
174,Yb,,,3.71,2.04,1.501
175,Lu,,,0.58,0.3,0.234
177,Hf,,,5.43,4.46,0.556
178,Hf,,,5.43,4.46,0.556
181,Ta,,,0.89,1.2,0.044
182,W,,,0.44,0.27,0.07
184,W(Os),,,0.44,0.27,0.07
185,Re,,,0.00084,,
193,Ir,,,0.000004,0.00044,0.00015
194,Pt,,,0.002,0.002,0.0028
195,Pt,,,0.002,0.002,0.0028
197,Au,,,0.00066,0.0016,0.0016
200,Hg,,,0.0079,0.0056,0.007
204,Pb(Hg),,,11.1,1.611,2.881
205,Tl,,,0.234,0.016,0.0025
206,Pb,,,11.1,1.611,2.881
207,Pb,,,11.1,1.611,2.881
208,Pb,,,11.1,1.611,2.881
209,Bi,,,0.047,0.018,0.02
232,Th,,,6.29,1.175,0.027
238,U,,,1.77,0.4208,0.074
