SampleLabel,Time,7Li,23Na,26Mg,27Al,29Si,31P,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr,93Nb,138Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,160Gd,159Tb,163Dy,166Er,172Yb,175Lu,208Pb,232Th,238U
bir,0,1600.09,8163348,6901.667,134025.77,130291.46,10403.787,700.017,10603.934,700.017,500.009,100754.05,6901.667,135136.15,5000.875,85756.627,4100.588,500.009,700.017,100,200.001,0,300.003,100,200.001,0,0,0,200.001,100,100,0,0,100,0,0,0,0
bir,1013,1900.126,8163348,8702.65,146648.86,128676.92,8802.711,1000.035,11304.471,900.028,700.017,101861.86,7301.866,141598.29,4100.588,81531.999,5200.947,0,1200.05,100,0,0,300.003,700.017,300.003,0,0,0,100,0,0,0,0,0,0,0,0,0
bir,1772,2000.14,8163348,11304.471,145941.68,137054.3,7101.765,400.006,9803.363,1000.035,900.028,112843.93,6301.39,136347.58,5801.178,82537.75,5200.947,100,500.009,0,0,100,400.006,200.001,0,200.001,0,0,0,0,0,0,0,0,0,0,0,0
bir,2532,1600.09,8471748,8602.589,143214.28,138265.89,11504.631,1100.042,9903.432,400.006,0,110324.36,9002.836,142305.26,5501.059,79017.931,4600.741,800.022,800.022,200.001,200.001,0,300.003,200.001,200.001,100,0,100,100,0,0,0,0,0,0,200.001,0,0
bir,3292,2000.14,8471748,7802.13,144426.39,135338.05,9002.836,1400.069,9803.363,1200.05,400.006,102063.29,6201.346,142810.27,5801.178,89278.101,5501.059,400.006,300.003,100,300.003,0,0,900.028,0,0,200.001,0,0,200.001,300.003,0,0,0,0,0,0,0
bir,4011,1800.113,8163348,8202.354,141699.29,129786.9,10003.501,700.017,10203.643,500.009,1000.035,113549.49,6001.26,141800.28,6401.434,85052.436,5100.911,800.022,400.006,400.006,400.006,0,600.013,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
bir,4771,1100.042,8163348,8402.47,138871.72,139174.65,9603.227,1300.059,12005.042,500.009,900.028,107603.73,5300.983,140285.43,5501.059,90183.763,7301.866,400.006,600.013,100,0,0,300.003,200.001,100,0,0,200.001,100,0,0,0,0,200.001,0,0,0,0
bir,5531,1500.079,8163348,9303.028,145436.56,135035.21,9603.227,1000.035,11404.55,600.013,500.009,103171.21,8202.354,147154.02,7702.076,87768.792,5300.983,400.006,1000.035,0,400.006,0,100,200.001,100,0,0,0,100,0,0,0,0,0,0,0,0,0
bir,6291,1800.113,8163348,9002.836,147052.98,132511.74,10203.643,1300.059,11104.314,1000.035,300.003,109921.27,8302.412,140992.34,4900.841,84650.056,5701.137,600.013,900.028,100,0,0,200.001,100,100,0,0,0,400.006,100,0,0,0,0,0,0,0,0
bir,7010,1500.079,8471748,10403.787,133521.07,129282.35,11304.471,500.009,9703.294,600.013,900.028,108812.84,6501.479,149174.81,4800.806,81431.428,6601.525,1100.042,900.028,100,100,100,300.003,200.001,100,0,0,0,100,0,100,0,0,0,0,0,0,0
bir,7771,2300.185,8163348,8402.47,142204.27,131906.17,9903.432,900.028,11804.875,200.001,700.017,111029.8,9303.028,146446.81,6401.434,83040.652,5501.059,400.006,500.009,300.003,200.001,100,700.017,300.003,0,0,0,100,100,0,0,0,0,0,0,0,0,0
bir,8530,500.009,8163348,9202.963,147962.3,136953.34,8602.589,1000.035,11904.958,600.013,700.017,110425.14,8102.297,141901.28,3200.358,90787.57,5701.137,200.001,600.013,400.006,300.003,0,300.003,100,0,0,0,100,100,300.003,0,0,0,0,0,0,0,0
bir,9291,2300.185,8163348,5801.178,143618.31,131603.4,10303.714,2100.154,12305.297,700.017,300.003,104581.41,8102.297,150488.48,4700.773,84046.508,5801.178,100,1100.042,500.009,200.001,0,400.006,200.001,100,0,0,100,0,300.003,0,100,0,0,0,200.001,0,0
bir,10010,2100.154,8471748,9002.836,142810.27,129887.81,11804.875,700.017,9303.028,1100.042,500.009,107906,8102.297,151903.34,6101.303,90284.396,6101.303,0,500.009,0,0,0,600.013,100,0,0,0,0,100,0,0,100,0,0,0,0,0,100
bir,10770,1900.126,8471748,10003.501,144123.36,129585.08,8002.241,1100.042,8602.589,800.022,100,110223.59,6901.667,136852.38,4600.741,90083.131,5601.098,200.001,300.003,0,300.003,0,600.013,200.001,200.001,0,0,0,0,0,0,0,0,0,0,100,0,0
bir,11530,2300.185,8471748,9102.899,152914.04,129685.99,10804.084,1100.042,10804.084,1000.035,300.003,109014.36,5701.137,150690.6,4200.618,87869.408,5701.137,800.022,800.022,0,900.028,100,600.013,100,0,0,0,0,100,200.001,100,0,200.001,0,0,0,0,0
bir,12290,2300.185,8163348,9002.836,143921.33,131199.71,8402.47,600.013,10103.572,800.022,100,115061.51,7001.715,144830.45,6501.479,81531.999,5501.059,200.001,700.017,100,100,0,400.006,200.001,200.001,0,0,100,0,0,0,0,0,0,100,0,0,0
bir,13009,2600.237,8163348,9202.963,147962.3,132108.03,10203.643,1700.101,11804.875,300.003,200.001,100149.82,7401.917,147457.12,4500.709,91793.97,3400.405,100,1200.05,0,0,0,200.001,400.006,100,0,0,0,0,0,0,0,0,0,0,100,0,0
bir,13769,1600.09,8163348,11204.392,143315.29,136549.5,9903.432,1600.09,11004.237,600.013,200.001,106293.98,7401.917,134429.53,5300.983,85253.63,4400.678,700.017,900.028,0,0,0,800.022,100,0,0,0,0,100,200.001,0,0,0,0,0,0,0,0
bir,14529,1700.101,8163348,7201.815,153318.34,134934.26,10103.572,1500.079,9403.094,1300.059,0,115061.51,5901.219,155238.91,4000.56,90083.131,6601.525,400.006,800.022,0,0,0,400.006,100,100,100,0,0,200.001,0,0,0,100,0,0,100,0,0
bir,15289,1500.079,8471748,8902.773,146850.92,127667.93,12105.127,900.028,9703.294,1400.069,400.006,105588.78,7001.715,140992.34,4500.709,86159.037,7101.765,500.009,1100.042,0,700.017,100,600.013,200.001,0,100,0,0,0,0,100,0,0,0,0,0,0,0
bir,16008,1200.05,8163348,7702.076,154834.56,130291.46,8302.412,1300.059,11504.631,1000.035,200.001,109316.66,8002.241,139174.65,6101.303,92498.493,7401.917,600.013,600.013,100,500.009,0,500.009,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0
bir,16769,900.028,8163348,9202.963,149680.06,130997.87,8302.412,1800.113,10103.572,1400.069,500.009,106495.47,6001.26,142103.27,5901.219,82537.75,5901.219,400.006,800.022,0,400.006,0,400.006,200.001,100,0,0,0,0,0,0,0,0,0,0,0,0,0
bir,17529,2000.14,8163348,7401.917,142406.26,143315.29,8202.354,1400.069,10904.16,500.009,1400.069,113146.31,6001.26,137458.15,4000.56,86460.852,6601.525,800.022,1000.035,0,400.006,0,100,0,0,100,0,0,500.009,0,0,0,0,0,0,0,0,0
bir,18288,1400.069,8163348,8302.412,145335.54,138366.86,9803.363,1000.035,11804.875,1200.05,300.003,104883.61,6601.525,149174.81,5601.098,86360.247,5300.983,200.001,700.017,300.003,0,100,600.013,0,200.001,0,0,0,100,0,0,0,0,0,0,0,0,0
bir,19008,1900.126,8163348,8702.65,150791.66,123733.54,10303.714,1000.035,11504.631,800.022,300.003,104178.48,7401.917,137862.01,4700.773,88171.259,6201.346,300.003,600.013,0,300.003,200.001,100,300.003,0,0,0,0,0,0,0,0,0,0,0,200.001,0,0
bir,19768,1300.059,8163348,9202.963,139073.67,121111.21,8902.773,1900.126,9803.363,900.028,200.001,107402.22,7201.815,140184.45,5601.098,82738.909,5100.911,1100.042,800.022,0,300.003,0,500.009,200.001,0,200.001,0,0,300.003,400.006,200.001,0,0,0,0,0,0,0
bir,20528,2300.185,8471748,7401.917,142911.27,122422.31,12205.212,1500.079,10603.934,600.013,600.013,107402.22,7101.765,139073.67,4900.841,81531.999,4500.709,100,900.028,300.003,200.001,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
