SampleLabel,Time,7Li,23Na,26Mg,27Al,29Si,31P,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr,93Nb,138Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,160Gd,159Tb,163Dy,166Er,172Yb,175Lu,208Pb,232Th,238U
bir,0,900.028,2217047.4,11404.55,168386.58,48482.129,3400.405,1500.079,5000.875,900.028,500.009,38752.49,2200.169,142305.26,5300.983,87567.563,2100.154,200.001,900.028,0,0,0,300.003,200.001,200.001,0,0,100,400.006,0,0,0,0,0,0,0,0,0
bir,1013,900.028,2261236.8,11104.314,172839.28,49184.524,2100.154,1600.09,4900.841,900.028,700.017,40256.641,2700.255,155643.28,4500.709,78917.378,2400.202,100,700.017,100,100,0,300.003,0,0,200.001,0,0,100,0,0,100,0,0,0,0,0,0
bir,1772,1400.069,2273586,10203.643,169297.25,54102.253,1700.101,2100.154,5401.021,400.006,300.003,43064.813,6101.303,137559.11,4100.588,94813.596,2700.255,600.013,900.028,0,200.001,200.001,400.006,200.001,0,200.001,0,0,100,0,0,0,0,100,0,0,0,0
bir,2532,1200.05,2268342.2,12805.737,170511.56,43265.417,1600.09,1300.059,4200.618,500.009,500.009,39755.24,4000.56,147356.08,5401.021,87366.336,3200.358,1000.035,200.001,300.003,200.001,200.001,800.022,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
bir,3292,1500.079,2236800.7,11104.314,164441.01,45472.255,1700.101,1800.113,3300.381,700.017,300.003,45070.987,3500.429,147052.98,4500.709,91391.401,2200.169,0,400.006,0,200.001,0,600.013,300.003,0,0,0,0,100,0,0,0,0,0,0,0,0,0
bir,4011,1500.079,2300532.2,11104.314,169297.25,49686.255,2900.294,1300.059,6401.434,600.013,0,41861.243,4100.588,151296.96,7602.022,84750.65,2100.154,400.006,800.022,0,100,0,400.006,0,0,0,0,0,200.001,0,0,0,0,0,0,0,0,0
bir,4772,1500.079,2250643.1,14307.161,171219.96,46776.456,2300.185,1600.09,5000.875,500.009,300.003,40758.06,5200.947,156148.75,5401.021,91391.401,2200.169,200.001,1200.05,0,0,0,400.006,200.001,0,0,0,0,0,100,200.001,0,0,100,0,0,200.001,0
bir,5531,1600.09,2316068,10503.86,161608.97,54704.54,2700.255,1000.035,5901.219,1100.042,300.003,45171.303,3600.454,149781.11,5000.875,89378.728,1900.126,300.003,600.013,0,200.001,100,500.009,100,200.001,0,0,0,300.003,0,0,0,0,0,0,0,0,0
bir,6291,1000.035,2311160.3,11904.958,179014.63,49184.524,3500.429,1500.079,4600.741,600.013,300.003,40557.49,5601.098,157867.48,2600.237,89881.87,3100.336,600.013,700.017,0,0,200.001,200.001,600.013,0,100,0,0,0,0,0,0,0,0,0,0,0,0
bir,7011,1300.059,2295979.6,10804.084,169600.81,52094.813,2300.185,700.017,4100.588,700.017,100,38251.142,4000.56,157766.37,4300.647,89378.728,2100.154,300.003,900.028,0,100,0,300.003,200.001,0,0,0,0,200.001,0,0,0,0,0,0,0,0,0
bir,7771,1100.042,2330332.7,14407.261,170916.35,52094.813,2700.255,800.022,4000.56,300.003,200.001,40056.079,4100.588,153318.34,3800.506,83442.986,2500.219,500.009,900.028,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bir,8531,2000.14,2317003,10503.86,169702.01,44669.729,3400.405,1300.059,6401.434,1000.035,100,44970.671,2600.237,148063.34,6101.303,83442.986,2900.294,100,800.022,0,0,0,700.017,200.001,100,200.001,0,0,0,0,0,0,0,0,0,0,0,0
bir,9291,1600.09,2290028.1,13606.477,169904.39,46676.129,1800.113,1400.069,4200.618,1500.079,200.001,41760.95,5100.911,157766.37,5100.911,87366.336,2200.169,300.003,200.001,100,0,0,900.028,100,200.001,0,200.001,0,0,0,0,0,0,200.001,0,200.001,0,0
bir,10010,900.028,2304151.9,14607.464,167475.97,46274.826,2300.185,1500.079,5300.983,400.006,1000.035,45171.303,3600.454,150993.77,4800.806,84348.279,2400.202,300.003,1500.079,0,0,0,300.003,300.003,0,0,0,0,200.001,0,0,0,0,0,0,0,0,0
bir,10770,500.009,2312095,13106.009,173142.93,50990.84,2700.255,800.022,5100.911,500.009,300.003,46375.151,5701.137,148972.72,5501.059,90485.663,2800.274,200.001,700.017,200.001,0,0,300.003,0,0,0,0,100,200.001,0,0,0,0,200.001,0,0,0,0
bir,11530,1900.126,2325888.2,11404.55,165351.43,45171.303,2000.14,1000.035,6601.525,200.001,700.017,43064.813,3800.506,155340,4300.647,88372.497,2200.169,500.009,300.003,0,400.006,100,600.013,700.017,0,0,0,0,300.003,0,0,0,100,0,0,200.001,0,0
bir,12290,500.009,2335012.5,13206.101,165553.76,49485.561,2700.255,1500.079,4100.588,500.009,600.013,47378.435,4700.773,150084.27,5300.983,87768.792,3000.315,100,600.013,0,0,0,300.003,0,0,0,0,200.001,0,0,0,0,0,0,0,0,0,0
bir,13010,900.028,2307889.3,13706.572,175572.31,47378.435,1900.126,1800.113,5901.219,1300.059,500.009,41660.658,3300.381,147457.12,5801.178,88171.259,2500.219,300.003,1100.042,0,0,0,500.009,200.001,0,0,0,0,100,100,0,0,0,0,0,0,0,0
bir,13770,1600.09,2320977.3,14607.464,172636.86,50087.653,3300.381,1500.079,7902.185,300.003,400.006,44469.105,3400.405,148669.59,4200.618,85555.426,2900.294,300.003,800.022,100,100,200.001,500.009,100,100,200.001,0,0,0,0,0,100,0,0,0,0,0,0
bir,14530,1300.059,2291194.9,11704.793,164238.71,48682.809,2600.237,1400.069,3100.336,500.009,100,49184.524,4000.56,158271.92,5701.137,87668.177,2500.219,100,800.022,100,100,0,600.013,0,200.001,100,0,0,0,0,0,0,0,0,0,0,0,0
bir,15289,1700.101,2310576.2,13306.194,178710.87,49886.953,3000.315,1200.05,6201.346,300.003,200.001,44067.865,4500.709,153116.19,4100.588,80828.016,2100.154,400.006,500.009,0,100,0,200.001,200.001,0,0,0,200.001,0,0,0,0,0,0,0,0,0,0
bir,16009,1200.05,2299948.5,10103.572,175369.84,50188.005,2100.154,1300.059,6401.434,600.013,500.009,47478.767,4300.647,159283.07,6401.434,83644.157,2600.237,300.003,600.013,0,0,0,300.003,100,100,0,0,0,200.001,0,100,0,0,0,0,0,0,0
bir,16769,1100.042,2302984.2,11704.793,165553.76,56310.763,2800.274,1100.042,4900.841,700.017,400.006,40356.923,3900.532,153722.65,5000.875,84448.871,2700.255,100,200.001,100,0,0,300.003,0,0,100,0,0,200.001,0,0,0,0,0,0,0,0,0
bir,17529,1100.042,2319223.8,10303.714,168285.4,51693.358,3400.405,900.028,5300.983,500.009,0,37749.811,3300.381,150791.66,4200.618,84247.688,2100.154,500.009,1000.035,0,100,0,100,100,100,0,0,0,0,100,0,0,0,100,0,0,0,0
bir,18289,1300.059,2301116,12905.827,174863.7,50188.005,2100.154,1000.035,6701.572,400.006,0,41259.496,3900.532,150993.77,3800.506,91995.259,1900.126,500.009,400.006,0,0,0,900.028,200.001,0,0,0,0,0,0,0,0,0,200.001,0,0,0,0
bir,19008,1100.042,2338172.2,12205.212,174762.47,49686.255,1500.079,1400.069,5701.137,800.022,500.009,41359.786,3900.532,147861.26,4300.647,84951.84,1700.101,0,1200.05,500.009,0,100,300.003,0,200.001,0,0,0,0,0,0,0,0,0,0,100,0,0
bir,19768,700.017,2319808.3,13506.382,182255.22,54905.308,1700.101,1000.035,4600.741,1100.042,500.009,44870.357,3200.358,149477.96,4600.741,92800.441,2200.169,100,500.009,0,200.001,200.001,700.017,0,200.001,300.003,0,200.001,0,0,0,0,0,0,0,0,0,0
bir,20528,800.022,2303684.8,12005.042,170410.36,45472.255,3100.336,800.022,4400.678,400.006,200.001,47278.103,5000.875,153722.65,4400.678,91492.043,900.028,300.003,700.017,100,0,0,900.028,300.003,0,100,0,0,0,0,0,0,0,0,0,0,0,0
bir,21288,900.028,2309291.1,12705.648,181039.92,50388.709,3000.315,1800.113,4800.806,900.028,400.006,43265.417,3900.532,148770.63,5000.875,89982.5,3600.454,200.001,1500.079,0,0,0,700.017,200.001,0,400.006,0,0,100,0,0,0,0,0,0,0,0,0
bir,22008,1000.035,2283612.4,13706.572,176787.15,46676.129,1800.113,1200.05,5901.219,1200.05,300.003,40858.346,4800.806,157463.06,4400.678,87366.336,2200.169,400.006,1100.042,0,100,0,500.009,100,0,200.001,100,0,0,0,100,0,0,0,0,0,0,0
bir,22768,1900.126,2269041.3,14207.061,170309.17,43967.556,3900.532,2100.154,4800.806,900.028,600.013,39955.798,5701.137,143921.33,5801.178,83543.571,2600.237,200.001,700.017,100,0,0,600.013,0,0,0,0,200.001,0,0,0,0,0,0,0,200.001,0,0
bir,23528,700.017,2324368,12305.297,169600.81,50087.653,3500.429,2400.202,5100.911,700.017,0,44268.483,3500.429,149174.81,5401.021,83945.92,2600.237,700.017,500.009,0,0,0,700.017,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bir,24287,700.017,2319925.2,14106.962,173750.23,52797.385,2200.169,1600.09,7602.022,700.017,400.006,43064.813,3200.358,154733.47,3400.405,91391.401,2500.219,300.003,400.006,0,0,0,300.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
bir,25007,1400.069,2342737.3,14207.061,172232.01,45572.574,2800.274,800.022,4900.841,1200.05,400.006,44870.357,4200.618,153722.65,5501.059,89579.982,2300.185,300.003,1000.035,0,100,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
bir,25767,1500.079,2289211.4,11304.471,163631.8,48582.469,2700.255,1900.126,5300.983,400.006,300.003,40958.632,2800.274,152610.82,4400.678,91391.401,3100.336,200.001,900.028,0,0,0,700.017,0,0,100,0,0,0,0,0,0,0,200.001,0,0,0,0
bir,26527,2500.219,2329163,12005.042,173345.36,51894.084,3800.506,1000.035,5401.021,600.013,300.003,44368.794,4400.678,159990.91,5601.098,85756.627,1800.113,200.001,500.009,200.001,200.001,0,100,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0
bir,27287,1800.113,2332672.4,12105.127,158069.7,46174.503,5100.911,1300.059,8102.297,500.009,400.006,45773.214,2700.255,151195.9,7201.815,85957.831,3800.506,100,800.022,0,100,200.001,500.009,0,100,0,0,200.001,0,0,0,0,0,0,0,0,0,0
bir,28006,1800.113,2325303.5,11204.392,173547.79,49084.179,2600.237,1600.09,6301.39,900.028,300.003,41861.243,5200.947,147356.08,4400.678,84750.65,3200.358,100,400.006,0,200.001,0,400.006,0,200.001,0,0,0,0,0,0,100,0,0,200.001,200.001,0,0
bir,28767,700.017,2309641.6,12605.559,176584.67,49886.953,2600.237,400.006,5801.178,100,0,44368.794,3600.454,148063.34,4400.678,84851.245,2200.169,100,700.017,200.001,100,0,200.001,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0
bir,29526,1000.035,2286411.7,13005.918,171422.36,51191.556,1600.09,1200.05,4300.647,400.006,200.001,40657.775,4500.709,151499.08,4200.618,80325.192,3400.405,0,100,0,300.003,0,300.003,100,100,0,0,0,0,0,0,0,0,0,200.001,0,0,0
